Feature,Importance
Global_intensity,0.40567088215454655
Sub_metering_3,0.11930921405855174
Hour_cos,0.0532905623627649
Hour_sin,0.04444326021674036
Lag_1,0.03534438154976637
Hour,0.02962826310810466
Sub_metering_2,0.025401335605228618
Month_cos,0.024857893115924096
Lag_168,0.024192184974104056
Lag_24,0.02322667658841403
RollingMean_24,0.020927253321895156
Global_reactive_power,0.02089659034953676
Voltage,0.020175028248724792
RollingStd_24,0.01905791690065405
RollingMean_3,0.019049073211113935
Day,0.017291580203995006
Sub_metering_1,0.015983183550133256
Year,0.014999183666676201
Month_sin,0.012317118766999913
DayOfWeek_sin,0.011965047864302893
Month,0.011853427726893245
IsWeekend,0.010667197258447902
DayOfWeek,0.009909784064345837
DayOfWeek_cos,0.009542961132135774
